DayOfWeek,Hour,Minute,CPU Util,CPU Load,VMs No,Initialing VMs,Running VMs,Quarantined VMs,RunningCloudlets,Throughput
6,5,3,33.333333333333336,33.333333333333336,3,1,2,0,1,100.0
6,5,4,33.333333333333336,33.333333333333336,3,1,2,0,1,100.0
6,5,5,0.0,0.0,3,0,3,0,0,108.33333333333333
6,5,6,0.0,0.0,3,0,3,0,0,100.0
6,5,7,0.0,0.0,3,0,3,0,0,100.0
6,5,8,0.0,0.0,3,0,3,0,0,100.0
6,5,9,0.0,0.0,3,0,3,0,0,100.0
6,5,10,0.0,0.0,3,0,3,0,0,100.0
6,5,11,0.0,0.0,2,0,2,0,0,100.0
6,5,12,50.0,50.0,2,0,2,0,1,95.0
6,5,13,50.0,50.0,2,0,2,0,1,100.0
6,5,14,100.0,150.0,2,0,2,0,3,93.33333333333333
6,5,15,0.0,0.0,2,0,2,0,0,114.99999999999999
6,5,16,0.0,0.0,2,0,2,0,0,100.0
6,5,17,100.0,300.0,2,0,2,0,6,68.42105263157895
6,5,18,0.0,0.0,2,0,2,0,0,133.33333333333331
6,5,19,0.0,0.0,2,0,2,0,0,100.0
6,5,20,0.0,0.0,2,0,2,0,0,100.0
6,5,21,0.0,0.0,2,0,2,0,0,100.0
6,5,22,0.0,0.0,2,0,2,0,0,100.0
6,5,23,50.0,50.0,2,0,2,0,1,94.73684210526315
6,5,24,50.0,50.0,2,0,2,0,1,100.0
6,5,25,100.0,250.0,2,0,2,0,5,85.71428571428571
6,5,26,0.0,0.0,2,0,2,0,0,112.19512195121952
6,5,27,100.0,100.0,2,0,2,0,2,92.5925925925926
6,5,28,0.0,0.0,2,0,2,0,0,105.88235294117648
6,5,29,0.0,0.0,2,0,2,0,0,100.0
6,5,30,0.0,0.0,2,0,2,0,0,100.0
6,5,31,100.0,200.0,1,0,1,0,2,80.0
6,5,32,100.0,800.0,1,0,1,0,8,78.57142857142857
6,5,33,100.0,400.0,1,0,1,0,4,114.81481481481481
6,5,34,100.0,500.0,1,0,1,0,5,96.0
6,5,35,0.0,0.0,1,0,1,0,0,129.41176470588235
6,5,36,100.0,2100.0,1,0,1,0,21,27.586206896551722
6,5,37,100.0,100.0,1,0,1,0,1,211.11111111111111
6,5,38,0.0,0.0,1,0,1,0,0,108.33333333333333
6,5,39,100.0,200.0,1,0,1,0,2,88.23529411764706
6,5,40,0.0,0.0,1,0,1,0,0,108.0
6,5,41,0.0,0.0,2,1,1,0,0,100.0
6,5,42,0.0,0.0,2,1,1,0,0,100.0
6,5,43,50.0,150.0,2,1,1,0,3,83.33333333333334
6,5,44,50.0,900.0,2,1,1,0,18,60.526315789473685
6,5,45,50.0,400.0,2,0,2,0,8,143.47826086956522
6,5,46,50.0,50.0,2,0,2,0,1,121.875
6,5,47,100.0,600.0,2,0,2,0,12,73.80952380952381
6,5,48,100.0,150.0,2,0,2,0,3,133.33333333333331
6,5,49,0.0,0.0,2,0,2,0,0,115.78947368421053
6,5,50,0.0,0.0,2,0,2,0,0,100.0
6,5,51,0.0,0.0,3,1,2,0,0,100.0
6,5,52,0.0,0.0,3,1,2,0,0,100.0
6,5,53,0.0,0.0,3,1,2,0,0,100.0
6,5,54,0.0,0.0,3,1,2,0,0,100.0
6,5,55,0.0,0.0,3,0,3,0,0,100.0
6,5,56,0.0,0.0,3,0,3,0,0,100.0
6,5,57,33.333333333333336,33.333333333333336,3,0,3,0,1,96.0
6,5,58,100.0,333.3333333333333,3,0,3,0,10,70.96774193548387
6,5,59,0.0,0.0,3,0,3,0,0,129.41176470588235
6,6,0,33.333333333333336,33.333333333333336,3,0,3,0,1,96.66666666666667
6,6,1,0.0,0.0,2,0,2,0,0,106.25
6,6,2,0.0,0.0,2,0,2,0,0,100.0
6,6,3,0.0,0.0,2,0,2,0,0,100.0
6,6,4,100.0,150.0,2,0,2,0,3,89.65517241379311
6,6,5,0.0,0.0,2,0,2,0,0,113.04347826086956
6,6,6,0.0,0.0,2,0,2,0,0,100.0
6,6,7,0.0,0.0,2,0,2,0,0,100.0
6,6,8,100.0,100.0,2,0,2,0,2,94.5945945945946
6,6,9,100.0,250.0,2,0,2,0,5,93.18181818181817
6,6,10,100.0,200.0,2,0,2,0,4,102.94117647058823
6,6,11,0.0,0.0,3,1,2,0,0,115.38461538461537
6,6,12,0.0,0.0,3,1,2,0,0,100.0
6,6,13,0.0,0.0,3,1,2,0,0,100.0
6,6,14,0.0,0.0,3,1,2,0,0,100.0
6,6,15,66.66666666666667,133.33333333333334,3,0,3,0,4,80.95238095238095
6,6,16,66.66666666666667,66.66666666666667,3,0,3,0,2,112.5
6,6,17,0.0,0.0,3,0,3,0,0,120.0
6,6,18,0.0,0.0,3,0,3,0,0,100.0
6,6,19,0.0,0.0,3,0,3,0,0,100.0
6,6,20,0.0,0.0,3,0,3,0,0,100.0
6,6,21,50.0,50.0,2,0,2,0,1,96.66666666666667
6,6,22,0.0,0.0,2,0,2,0,0,104.16666666666667
6,6,23,50.0,50.0,2,0,2,0,1,96.0
6,6,24,100.0,250.0,2,0,2,0,5,90.0
6,6,25,50.0,50.0,2,0,2,0,1,112.5
6,6,26,0.0,0.0,2,0,2,0,0,104.0
6,6,27,0.0,0.0,2,0,2,0,0,100.0
6,6,28,0.0,0.0,2,0,2,0,0,100.0
6,6,29,0.0,0.0,2,0,2,0,0,100.0
6,6,30,50.0,50.0,2,0,2,0,1,97.2972972972973
6,6,31,0.0,0.0,3,1,2,0,0,103.125
6,6,32,0.0,0.0,3,1,2,0,0,100.0
6,6,33,66.66666666666667,100.0,3,1,2,0,3,91.42857142857143
6,6,34,33.333333333333336,100.0,3,1,2,0,3,100.0
6,6,35,33.333333333333336,33.333333333333336,3,0,3,0,1,110.00000000000001
6,6,36,33.333333333333336,33.333333333333336,3,0,3,0,1,100.0
6,6,37,33.333333333333336,33.333333333333336,3,0,3,0,1,100.0
6,6,38,0.0,0.0,3,0,3,0,0,105.55555555555556
6,6,39,0.0,0.0,3,0,3,0,0,100.0
6,6,40,33.333333333333336,33.333333333333336,3,0,3,0,1,97.72727272727273
6,6,41,100.0,600.0,2,0,2,0,12,67.64705882352942
6,6,42,0.0,0.0,2,0,2,0,0,136.36363636363635
6,6,43,0.0,0.0,2,0,2,0,0,100.0
6,6,44,0.0,0.0,2,0,2,0,0,100.0
6,6,45,0.0,0.0,2,0,2,0,0,100.0
6,6,46,0.0,0.0,2,0,2,0,0,100.0
6,6,47,50.0,50.0,2,0,2,0,1,96.7741935483871
6,6,48,0.0,0.0,2,0,2,0,0,111.11111111111111
6,6,49,50.0,50.0,2,0,2,0,1,95.45454545454545
6,6,50,50.0,50.0,2,0,2,0,1,100.0
6,6,51,0.0,0.0,2,0,2,0,0,103.33333333333334
6,6,52,50.0,50.0,2,0,2,0,1,97.22222222222221
6,6,53,0.0,0.0,2,0,2,0,0,103.57142857142858
6,6,54,100.0,100.0,2,0,2,0,2,93.93939393939394
6,6,55,50.0,50.0,2,0,2,0,1,105.0
6,6,56,0.0,0.0,2,0,2,0,0,105.55555555555556
6,6,57,0.0,0.0,2,0,2,0,0,100.0
6,6,58,0.0,0.0,2,0,2,0,0,100.0
6,6,59,0.0,0.0,2,0,2,0,0,100.0
6,7,0,0.0,0.0,2,0,2,0,0,100.0
6,7,1,0.0,0.0,2,0,2,0,0,100.0
6,7,2,0.0,0.0,2,0,2,0,0,100.0
6,7,3,0.0,0.0,2,0,2,0,0,100.0
6,7,4,0.0,0.0,2,0,2,0,0,100.0
6,7,5,0.0,0.0,2,0,2,0,0,100.0
6,7,6,0.0,0.0,2,0,2,0,0,100.0
6,7,7,50.0,50.0,2,0,2,0,1,95.23809523809523
6,7,8,0.0,0.0,2,0,2,0,0,105.0
6,7,9,0.0,0.0,2,0,2,0,0,100.0
6,7,10,0.0,0.0,2,0,2,0,0,100.0
